prompt,completion
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!","1 Minute Spending Challenge with $1,000,000"
World&#39;s Largest Bowl Of Cereal,A video of a really big bowl of cereal.
"Last To Leave Circle Wins $500,000",Individuals Compete to Stay in a Circle for a Chance to Win Money
"$1 Burger vs $10,000 Burger!",Comparison of Burgers at Different Price Points.
"Last To Leave VR Wins $20,000",Individuals Compete in Virtual Reality Challenge for Cash Prize
"Paying People $10,000 To Eat Ghost Pepper",Eating Spicy Pepper Challenge
Giant Monopoly Game With Real Money,Playing Monopoly with Large Currency
Luckiest People Alive!,Individuals Who Have Experienced Fortunate Circumstances
Surviving 24 Hours Straight In A Desert,24 Hours Alone In The Desert
Surviving 100 Days In The Wilderness!,Spending Time Alone in Nature for 100 Days
"I Bought The World&#39;s Largest Firework ($600,000)",A person buys a firework.
"Extreme $500,000 Game Of Tag!",Tag Game with High Stakes
World&#39;s Fastest Car!,Car Goes Really Fast.
"Last To Leave Roller Coaster Wins $20,000 - Challenge","Roller Coaster Challenge for $20,000"
"I Ate A $70,000 Golden Pizza",Man Consumes Expensive Pizza
Weirdest Things On Amazon!,List of Unusual Products Available on Amazon
I Went Back To 1st Grade For A Day,1st Grade Experience
People With Amazing Talent!,Individuals Displaying Exceptional Abilities.
Reacting To The World’s Most Satisfying Videos!,Watching People Experience Mild Pleasure on Camera
100 Million Subscriber Livestream!,Livestream with 100 million subscribers.
"MrBeast Hit 100,000,000 Subs So I Did This...","Channel Reaches Milestone, Celebratory Action Taken"
Giving School Supplies To The Poorest Schools In America,Distribution of Educational Materials to Underprivileged Schools in the United States
I Built MrBeast’s 100 Million Playbutton!,Construction of a Large Button for a YouTuber
John Dean: National Archives letter ‘very damning’ for Trump people,Analysis of a Letter from the National Archives
Cruise ship spots migrants lost at sea floating on dresser,Cruise ship sees people on furniture in the ocean
Tapper: Republicans take credit for bills they opposed,Political Analysis: Republicans and Bills
CNN reporter explains impact of student debt relief on economy,Analysis of student debt relief's economic effects by CNN journalist
AO VIVO: CNN PRIME TIME - 24/08/2022,"Live broadcast of CNN Prime Time on August 24th, 2022."
Hackers tore apart voting machines. Here&#39;s what they found,Analysis of Voting Machines by Hackers
Cooper: We&#39;ve entered the &#39;perfect phone call&#39; phase of the Mar-a-Lago saga,Cooper discusses phone call phase of Mar-a-Lago saga
FBI chief responds to threats after search of Trump&#39;s property,FBI Chief Addresses Threats Following Trump Property Search
Pink Floyd co-founder explains meaning behind warning at the top of his show,Musician talks about show warning
Former Trump White House lawyer reacts to FBI Mar-a-Lago search,Ex-White House attorney shares thoughts on FBI search at Mar-a-Lago
"More people use weed than tobacco in the US, new poll reveals",Poll shows shift in substance use habits
CNN reporter explains how prosecutors are inching closer to Trump,CNN reporter discusses legal developments related to Trump
GOP strategist says there are two ways FBI&#39;s Trump search can end,Analysis of potential outcomes for FBI's investigation into Trump by GOP strategist
"&quot;Certeza que não vão encontrar nada&quot;, diz Hang à CNN sobre celular apreendido pela PF | NOVO DIA",Hang denies any wrongdoing regarding confiscated phone in interview with CNN | NEW DAY
&#39;Hold on a second&#39;: CNN anchor presses GOP lawmaker on comparing Trump to Clinton,CNN anchor interviews GOP lawmaker about Trump and Clinton comparison
Hear Bannon’s reaction to FBI search of Mar-a-Lago,Bannon's thoughts on FBI search at Mar-a-Lago
Chinese ambassador: Pelosi&#39;s Taiwan visit will escalate tensions,Political statement regarding Taiwan visit
See Obama&#39;s clever callback to Biden after he signs bill,Obama references Biden after signing bill
Hear what voters have to say about Liz Cheney&#39;s opponent,Opinions of Liz Cheney's rival shared by voters
Resumen en video de la guerra Ucrania - Rusia: 23 de agosto,Video summary of Ukraine-Russia war: August 23rd
Reporter who broke major story about FBI’s search of Trump&#39;s home speaks to CNN,Interview with journalist on FBI search of Trump's home
Cheney says she’s ‘thinking about’ running for president,Possible presidential candidate mentioned by Cheney
Merrick Garland announces FBI filed motion to unseal Trump warrant,FBI files motion to unseal Trump warrant
Republicans rush to Trump&#39;s defense after FBI executes search warrant at Mar-a-Lago,Political figures react to recent events
‘The hypocrisy is jaw-dropping’: Honig on Trump taking the Fifth,Legal analyst discusses Trump's use of the Fifth Amendment
Pence says he&#39;d consider testifying before Jan. 6 committee if invited,Pence Considers Testifying Before Jan. 6 Committee
Former Trump aide calls Trump’s CPAC speech ‘shameful’,Political figure criticizes speech at conservative conference
Armed Trump supporters gathered outside Phoenix FBI office,Group of people with weapons seen near FBI building in Phoenix
Trump&#39;s ex-Chief of Staff reacts to report about informant tipping off FBI,Former White House Official Responds to News of Informant Alerting FBI
Brian Stelter speaks about cancellation of his CNN show &#39;Reliable Sources&#39;,Brian Stelter discusses the end of his CNN program 'Reliable Sources'
&#39;Deadly serious matter’: Bernstein on FBI search of Trump home,FBI searches Trump's home
"Rents are sky high, and Elon Musk&#39;s tweets cause a stir. Welcome to &#39;Nightcap&#39;",Current events discussed on a late-night talk show.
Ex-prosecutor says Trump faces serious potential legal liability,Legal analysis of potential liability for former president
Trump and his allies flood airwaves with falsehoods after FBI search,Factual inaccuracies spread by Trump and associates following FBI investigation
Reporter confronts Republican over call to defund FBI,Interview with Politician on FBI Funding
He got an offer to join Trump&#39;s legal team. Hear why he turned it down,Why one man declined a job opportunity with Trump's legal team
See Crenshaw&#39;s reaction to Marjorie Taylor Greene calling to defund FBI,Crenshaw reacts to Greene's FBI defunding proposal
See McConnell’s telling prediction about 2022 elections,McConnell talks about upcoming elections
&#39;I thought of Al Capone&#39;: Legendary journalist reacts to Trump search,Journalist shares thoughts on Trump search
Judge says he may unseal portions of Trump search affidavit,Legal proceedings regarding Trump's search affidavit may be partially unsealed
New satellite images debunk Putin&#39;s claim about nuclear plant,Satellite images disprove Putin's nuclear plant statement
Watch Jordan Klepper confront MAGA crowd on conspiracies,Jordan Klepper talks to people about conspiracies
Ex-Trump lawyer defends Trump against NYT report,Former attorney speaks on recent news article about former president
Trump responds to AG Garland’s move to unseal search warrant,Political figure reacts to legal action
Ex-Trump attorney: What Trump fears the most about the FBI search,Legal analysis of recent FBI search
Bible among challenged books school district is reviewing for removal,School district reviews books for removal
See video Alex Jones sent out to followers after jury’s decision,Alex Jones shares post-jury update with followers
Ronny Jackson publicly criticized Biden&#39;s health. Then he heard from Obama,Political Figure Receives Feedback on Health Remarks
Analysis: How FBI&#39;s search of Mar-a-Lago could help Trump in 2024,FBI Searches Mar-a-Lago
Liz Cheney: The evidence is there to prosecute Trump,Evidence for Trump's Prosecution by Liz Cheney
The Math You&#39;ll Use in Chemistry,Mathematical Concepts in Chemical Applications
Intro to Chemistry &amp; What is Chemistry? - [1-1-1],Basic Overview of Chemical Concepts - [1-1-1]
"Greek Alphabet Symbols List - College Math, Chemistry, &amp; Physics",Greek Alphabet Symbols List - Educational Video
Balancing Chemical Equations Practice Problems,Chemistry Tutorial: Balancing Equations
Algebra Introduction - Basic Overview - Online Crash Course Review Video Tutorial Lessons,Introduction to Algebra
01 - Introduction To Chemistry - Online Chemistry Course - Learn Chemistry &amp; Solve Problems,Chemistry 101: Basic Introduction to Chemical Concepts
Understand Calculus in 35 Minutes,Calculus Explanation
SCIENCE WARS - Acapella Parody | SCIENCE SONGS,Scientific Singing
"Intro to Chemistry, Basic Concepts - Periodic Table, Elements, Metric System &amp; Unit Conversion","Chemistry Basics: Periodic Table, Elements, and Unit Conversion"
Significant Figures - A Fast Review!,Reviewing Significant Figures Quickly
Mathematicians vs. Physics Classes be like...,Comparison of Mathematical and Physics Courses
Mathematics and Chemistry : MathChemistry.com : Masters Degree in Math,Masters Degree in Math at MathChemistry.com
The Map of Mathematics,A video about the history and development of mathematical concepts and theories.
Chemical Reactions and Equations,Basic Concepts of Chemical Reactions and Equations
Mathematics and Chemistry : MathChemistry.com : Masters Degree in Math,Masters Degree in Math from MathChemistry.com
All of Biology in 9 minutes,Biology Overview
Biology 1010 Lecture 1 Intro to Biology,Biology Lecture on Basic Concepts
Biology: Cell Structure I Nucleus Medical Media,Introduction to Cell Structure in Biology
Biology - Intro to Cell Structure - Quick Review!,Cell Structure Overview
Stroll Through the Playlist (a Biology Review),Playlist Walkthrough: Biology
What is Biology?,Biology Basics
The Insane Biology of: The Octopus,Octopus Biology.
Biologist Answers Biology Questions From Twitter | Tech Support | WIRED,Biologist Responds to Twitter Questions | WIRED
Biologist Explains One Concept in 5 Levels of Difficulty - CRISPR | WIRED,Explanation of CRISPR by Biologist in 5 Levels of Difficulty | WIRED
Quantum Biology: The Hidden Nature of Nature,Scientific Lecture on Quantum Biology
The Insane Biology of: The Dragonfly,Dragonfly Anatomy and Physiology
2021&#39;s Breakthroughs in Neuroscience and Other Biology,New Discoveries in Neuroscience and Biology for 2021
The Insane Biology of: Hammerhead Sharks,Hammerhead Sharks: A Study of Their Biology
Biologist Answers More Biology Questions From Twitter | Tech Support | WIRED,Biologist Responds to Biology Queries on Twitter
Map of Biology,Overview of Biological Concepts
DNA Structure and Replication: Crash Course Biology #10,Overview of DNA and its Replication Process
1. Introduction to Human Behavioral Biology,1. Overview of Basic Human Biology and Behavior
The Insane Biology of: The Orca,The Biology of: The Orca
Cartoon x nublu x Gameboy Tetris - Biology [NCS Release] (Official Music Video),Music Video: Biology by Cartoon x nublu x Gameboy Tetris [NCS Release]
What Are the New Discoveries in Human Biology? - with Dan Davis,New Discoveries in Human Biology with Dan Davis
The Insane Biology of: The Axolotl,The Biology of: The Axolotl
Biomolecules (Updated),Updated Biomolecules
Web of Complex Biology | Science Documentary | Bill Nye,Understanding the Intricacies of Biological Systems | Educational Film | Bill Nye
The Insane Biology of: The Venus Flytrap,The Biology of: The Venus Flytrap
The Insane Biology of: Ant Colonies,Ant Colonies
The Insane Biology of: The Platypus,Platypus Biology
Pi&#39;erre Bourne - Biology 101 [Official Audio],Pi'erre Bourne - Biology 101 [Official Audio]
The Insane Biology of: The Electric Eel,Electric Eel Biology
&#39;Amphiterra&#39; Explained | Speculative Biology,Explanation of Amphiterra's Speculative Biology
Biological Molecules - You Are What You Eat: Crash Course Biology #3,Introduction to Biological Molecules
Girls Aloud - Biology,Girls Aloud - Biology
Biologist Answers Even More Biology Questions From Twitter | Tech Support | WIRED,Biologist Answers Biology Questions From Twitter | WIRED
Photosynthesis: Crash Course Biology #8,Photosynthesis Lesson #8
The Insane Biology of: The Harpy Eagle,The Biology of: The Harpy Eagle
ATP &amp; Respiration: Crash Course Biology #7,ATP & Respiration: Biology Lesson #7
How Much Do You Know About &quot;BIOLOGY&quot;?🌱| QUIZ/TRIVIA/QUESTIONS,Biology Quiz
&#39;Exobiotica&#39; Explained | Speculative Biology,Explanation of Exobiotica in Speculative Biology
Evolution from ape to man. From Proconsul to Homo heidelbergensis,Timeline of primate development.
Biology: Digestive System Video,Digestive System Video
&#39;Draconology&#39; Explained | Dragon Biology,Explanation of the Study of Draconology and the Biological Aspects of Dragons
Water - Liquid Awesome: Crash Course Biology #2,Properties of H2O: Educational Video #2
Cell Biology | DNA Replication 🧬,Cell Biology | DNA Replication 🧬
Evo-Devo (Despacito Biology Parody) | A Capella Science,Evo-Devo (Despacito Biology Parody) | A Capella Science
The Biology Behind Bonsai Trees,Bonsai Trees: A Biological Study
Taxonomy: Life&#39;s Filing System - Crash Course Biology #19,Organizing Living Things: Crash Course Biology #19
Physics - Basic Introduction,Introduction to Basic Physics Concepts
The Mind Bending Story Of Quantum Physics (Part 1/2) | Spark,Introduction to Quantum Physics (Part 1/2) | Spark
2021&#39;s Biggest Breakthroughs in Physics,New Discoveries in Physics for 2021
What is Physics?,Introduction to Basic Principles of Physics
What If Physics IS NOT Describing Reality?,Inquiry into the Possibility of Physics Failing to Accurately Depict Reality
Dr. Michio Kaku Answers Physics Questions From Twitter | Tech Support | WIRED,Physics Q&A with Dr. Michio Kaku on Twitter
Physicist Explains Dimensions in 5 Levels of Difficulty | WIRED,Explanation of Dimensions by a Physicist
The Map of Physics,A video about the map of physics.
Neil deGrasse Tyson Explains The Weirdness of Quantum Physics,Explanation of Quantum Physics by Neil deGrasse Tyson
Physics expert explains how NASA got sound from a black hole,Scientist discusses the process of obtaining audio from a black hole
Quantum Physics for 7 Year Olds | Dominic Walliman | TEDxEastVan,Introduction to Basic Concepts in Quantum Physics for Children
5 Fun Physics Phenomena,5 Basic Physics Concepts
Will Constructor Theory REWRITE Physics?,An Analysis of Constructor Theory's Potential Impact on Physics
Physics Review - Basic Introduction,Overview of Fundamental Concepts in Physics
Physicists At CERN Just Made A Terrifying Discovery That Changes Everything!,New Discovery Made by Physicists at CERN
3 Perplexing Physics Problems,3 Physics Problems
Einstein and the Quantum: Entanglement and Emergence,Einstein and Quantum Physics
Physics’ greatest mystery: Michio Kaku explains the God Equation | Big Think,Michio Kaku talks about a physics mystery on Big Think
Michio Kaku: The Universe in a Nutshell (Full Presentation) | Big Think,Michio Kaku Talks About the Universe
Wireless Keyboard Prank HACK on Rich Kid Playing Fortnite! (N3ON),Person plays prank on someone using a wireless keyboard while they play Fortnite.
The physics anomaly no one talks about: What&#39;s up with those neutrinos?,Neutrinos and their peculiarities in physics.
"8 Year Old LOST His GIRLFRIEND To A Rich Kid, So We Confronted Her... (Fortnite)",Confrontation with a Rich Kid over a Lost Girlfriend in Fortnite by an 8 Year Old
The Map of Particle Physics | The Standard Model Explained,Explanation of the Standard Model and Particle Physics Map
7 AMAZING Physics Tricks That You Must See,7 Physics Tricks
Physics experiments that changed the world – with Suzie Sheehy,Scientific demonstrations with Suzie Sheehy
How Two Physicists Unlocked the Secrets of Two Dimensions,Research on Two Dimensions by Physicists
What Does Quantum Physics Actually Tell Us About the World?,Quantum Physics and its Implications
Gifting a 9 Year Old MAX Battle Pass!,Giving a Child a Video Game Subscription
Can Life Really Be Explained By Physics? (featuring Prof. Brian Cox),Physics and Life
Electric Charge: Crash Course Physics #25,Electric Charge: Crash Course Physics #25
Amazing Physics Toys/Gadgets 1,Physics Toys and Gadgets Compilation
I Met RICH KID In Real Life...,Encountered a Wealthy Child in Person...
